run_at,target,grades,loss,sampler,class_weight,eval,arch,hidden,lr,epochs_run,best_epoch,n_train,n_val,macro_f1,accuracy,qwk,per_device_f1,seconds,tag
2026-09-09 13:18,wrinkle,3,ce,none,False,standard,dinov3_s,512,0.001,21,6,11374,1810,0.7467,0.7575,0.8091,"{""디카"": 0.7618, ""패드"": 0.6887, ""폰"": 0.7006}",5.8,5.3fix/w180
2026-09-09 13:19,wrinkle,3,ce,none,False,standard,dinov3_s,512,0.001,37,22,13432,1810,0.7466,0.7586,0.8161,"{""디카"": 0.7674, ""패드"": 0.6988, ""폰"": 0.6841}",12.2,5.3fix/w120
2026-09-09 13:19,wrinkle,3,ce,none,False,standard,dinov3_s,512,0.001,26,11,12419,1810,0.7397,0.7497,0.8079,"{""디카"": 0.7553, ""패드"": 0.6806, ""폰"": 0.6744}",8.0,5.3fix/w150
2026-09-09 13:19,wrinkle,3,ce,none,False,standard,dinov3_s,512,0.001,37,22,11374,1810,0.7361,0.7492,0.804,"{""디카"": 0.7465, ""패드"": 0.6627, ""폰"": 0.6526}",10.0,5.3fix/w180
2026-09-09 13:19,wrinkle,3,ce,none,False,standard,dinov3_s,512,0.001,31,16,13432,1810,0.7493,0.7635,0.8208,"{""디카"": 0.7637, ""패드"": 0.7104, ""폰"": 0.6935}",9.9,5.3fix/w120
2026-09-09 13:19,wrinkle,3,ce,none,False,standard,dinov3_s,512,0.001,32,17,12419,1810,0.7443,0.7519,0.811,"{""디카"": 0.765, ""패드"": 0.6995, ""폰"": 0.6851}",10.3,5.3fix/w150
2026-09-09 13:20,wrinkle,3,ce,none,False,standard,dinov3_s,512,0.001,37,22,11374,1810,0.7354,0.7519,0.8033,"{""디카"": 0.746, ""패드"": 0.6702, ""폰"": 0.7094}",10.5,5.3fix/w180
2026-09-09 13:20,wrinkle,3,ce,none,False,standard,dinov3_s,512,0.001,25,10,13432,1810,0.7466,0.7564,0.8184,"{""디카"": 0.7667, ""패드"": 0.6981, ""폰"": 0.6863}",8.1,5.3fix/w120
2026-09-09 13:20,wrinkle,3,ce,none,False,standard,dinov3_s,512,0.001,23,8,12419,1810,0.7453,0.7564,0.8147,"{""디카"": 0.7579, ""패드"": 0.6701, ""폰"": 0.6738}",7.0,5.3fix/w150
2026-09-09 13:20,wrinkle,3,ce,none,False,standard,dinov3_s,512,0.001,18,3,11374,1810,0.7416,0.7514,0.8046,"{""디카"": 0.7509, ""패드"": 0.6913, ""폰"": 0.697}",5.1,5.3fix/w180
